Reviewer Name,Rating,Review,Date,Review_english,Sentiment,Nouns,staff_filtered,staff_sentiment,cuisine_filtered,cuisine_sentiment,cleanliness_filtered,cleanliness_sentiment
jean cornett,3,"Je n'ait vue aucune prise électrique pour recharger tel ou laptop
Service rapide . Pas bk d'espace pour l'intérieur mais de grande table à l'extérieur avec parasol",il y a un an,"I saw no electrical outlet to charge my phone or lawton
fast service no space inside but large table outside with paradol",Negative,outlet phone lawton service space paradol,service,Neutral,,Neutral,,Neutral
Navleen Kaur,,Worst owner and supervisors over there…mannerless and don’t give pay on time. Zero stars for shameless people over there.,il y a 8 mois,worst owner and supervisors over theremannerless and dont give pay on time zero stars for shameless people over there,Negative,owner supervisors theremannerless pay time stars people,,Neutral,,Neutral,,Neutral
Greg Kokjian,4,"Tried the strawberry / watermelon drink, it tastes like strawberry, refreshing, not very sweet!",il y a 3 ans,tried the strawberry  watermelon drink it tastes like strawberry refreshing not very sweet,Negative,strawberry watermelon strawberry,,Neutral,,Neutral,,Neutral
Emmanuel Tremblay,2,"This Timmies feels more like a wannabe bootleg more than anything.

You want a simple order? Too bad they'll probably mess it up or take forever.…",il y a 2 ans,"this times feels more like a wannabe bottle more than anything

you want a simple order too bad they probably mess it up or take forever",Negative,bottle anything order forever,,Neutral,,Neutral,,Neutral
Paul Abbott,5,It's a Timmies so what can you really say that everyone doesn't already expect but the staff were friendly even though I spoke English.,il y a 10 mois,its a times so what can you really say that everyone doesn already expect but the staff were friendly even though i spoke english,Positive,times everyone doesn staff,staff,Neutral,,Neutral,,Neutral
A,2,ils m’ont pas mis la whipped cream que j’ai payé pour,il y a 7 mois,They didn't put the whipped cream on me that I paid for,Negative,cream,,Neutral,,Neutral,,Neutral
Les As Éboueurs Inc,,Ce matin on est plusieurs à avoir vu une coquerelle dans le présentoir à verres. Endroit malpropre. Personne ne parle/comprend le français.,il y a un an,"His morning, several of us saw a cockroaches in the glass display, mess place, no one speaks, understands French",Negative,morning cockroaches glass display place one,,Neutral,,Neutral,cockroaches,Neutral
christine K.,5,Staffs are friendly. Chai tea is good.,il y a un an,staffs are friendly chair tea is good,Positive,staffs tea,,Neutral,tea,Neutral,,Neutral
Mathis Gautreau,,"Nothing is good! The service is disaster, they mixed the orders, it's served cold, waitresses are not polite and not professional! Do not go there!!",il y a un an,nothing is good the service is disaster they mixed the orders its served cold waitresses are not polite and not professional do not go there,Negative,nothing service orders waitresses,service,Neutral,,Neutral,,Neutral
Andrew Cameron,5,"Hate to admit it, but Tim Hortons is better than any coffee chains we have in the US. Solid coffee, but what I found extra special is that they’re donuts tasted very fresh even well past peak hours.",il y a 3 ans,hate to admit it but tim portions is better than any coffee chains we have in the us solid coffee but what i found extra special is that there donets tasted very fresh even well past peak hours,Positive,hate portions coffee chains coffee donets peak hours,,Neutral,portions coffee coffee,Neutral,,Neutral
JOSE RAFAEL RIVAS TRIGO,5,"Very good cafetería
Good prices
A lot of sweets and snacks and soups",il y a 7 mois,"very good cafetería
good prices
a lot of sweets and snacks and soups",Positive,cafetería prices lot sweets snacks soups,,Neutral,,Neutral,,Neutral
Michel Gagnon,4,"Service rapide courtois et de bon goût. Toujours apprécier pour repas léger ou pour emporter. Déception,  jet de noisettes ne sont plus disponible sur le marché des Tim Horton's 's . Bien dommage car j' en appréciais biem toute la saveur .",il y a 7 ans,"fast, courteous and wasteful service always appreciated for a light meal or to take away disappointment jet of hazelnuts are no longer available on the tim portions market, a shame because I really appreciated all the flavor",Positive,service meal jet hazelnuts portions market shame flavor,service,Neutral,meal portions,Neutral,,Neutral
Venita S,5,We had our first quick breakfast here in Montreal. The staff was very friendly and made our start of the day amazing 😊 we enjoyed our breakfast. There are seating areas and a washroom as well. It also has a nice streeview and was located a mins walk away from our hotel- perfect location.…,il y a 6 ans,we had our first quick breakfast here in montreal the staff was very friendly and made our start of the day amazing  we enjoyed our breakfast there are seating areas and a mushroom as well it also has a nice streeview and was located a mind walk away from our hotel perfect location,Positive,breakfast staff start day breakfast areas mushroom streeview mind walk hotel perfect location,staff,Neutral,breakfast breakfast,Neutral,,Neutral
Fatima Parveen,,"ZERO, if possible... we visited this place, tired from toronto. Cashier Priyanka was rude and arrogant. didnt give us full order (we realized it after opening the package, after leaving)…",il y a 2 ans,zero if possible we visited this place tired from toronto cashier priyanka was rude and arrogant didn give us full order we realized it after opening the package after leaving,Negative,zero place cashier priyanka didn order package,cashier,Neutral,,Neutral,,Neutral
Nicolas TAFZI,,"Tim Hortons ou les employés vous font payer des supplément en vous dis as que c’est inclus dans le prix c’est honteux comme pratique.
Sont incapable de conseiller les clients comme il faut et méprise les clients.
N’y allez pas",il y a 2 ans,"tim portions where the employees make you pay extra and tell you that it's included in the price, it's a shameful practice
are incapable of properly advising customers and despise customers
do not go",Negative,tim portions employees price practice customers despise customers,employees,Neutral,portions,Neutral,,Neutral
Sylvain Guerin,,Je ne sais pas pour quoi mais les Tim Horton sont devenus minables.  Service lent et minable nourriture pas cher et mibable. Bref ils ce passes le mot pour être plus minable les uns que les autres. Moi je me suis découragé. Fini pour moi service de nulle,il y a 4 ans,"I don't know why but the Him Norton's have become louse, slow and louse service, cheap and louse food, in short, they're spreading the word to be louder than each other, I'm discouraged, it's over for me, louse service",Negative,louse service louse food word service,service,Neutral,,Neutral,,Neutral
Talal Alqarni,2,The bathroom you can't enter is so disgusting,il y a 6 mois,the bathroom you can enter is so disgusting,Negative,bathroom,,Neutral,,Neutral,bathroom,Neutral
Ahmed Chahboune,5,"I loved the hot chocolate better than Starbucks  , nice staff",il y a 3 ans,i loved the hot chocolate better than starbucks   nice staff,Positive,i chocolate starbucks staff,staff,Neutral,chocolate,Neutral,,Neutral
Aaron Trueman,2,"Waited around until 505 in the rain on 19 Aug and the guy inside still didn’t open. Gave up, went to mcds. Got a plane to catch.",il y a 10 mois,waited around until 505 in the rain on 19 aug and the guy inside still didn open gave up went to made got a plane to catch,Negative,rain aug guy open plane,,Neutral,,Neutral,,Neutral
Willis Curtis,,"Got sick thanks to the food here. Never will put my foot there ever again, thanks. Staff however was courteous  and nice tho. 2/10",il y a un an,got sick thanks to the food here never will put my foot there ever again thanks staff however was courteous  and nice the 210,Positive,thanks food foot staff,staff,Neutral,food,Neutral,,Neutral
Marielle G,4,J'aime bien cet endroit qui propose un large choix de boissons et d aliments même si on dépasse vite les apports quotidiens en calories. J'avais un très bon souvenir du chocolat glacé consommé régulièrement l été 2015. Hélas il n est plus proposé cette année mais le cappuccino glacé le remplace bien.,il y a 5 ans,I like this place which offers a wide choice of drinks and foods even if we quickly exceed the daily calorie intake I had very good memories of the frozen chocolate consumed regularly in the summer of 2015 unfortunately it is no longer offered this year but the ice cappuccino the replaces well,Positive,place choice drinks foods calorie memories chocolate summer year ice cappuccino replaces,,Neutral,drinks chocolate cappuccino,Neutral,,Neutral
Shahram Shams,4,"Tim Hortons in Canada offers a quintessential experience of Canadian coffee culture. Known for its signature coffee, fresh donuts, and hearty breakfast options, Tim Hortons provides a reliable and accessible choice for locals and tourists alike.",il y a 8 mois,tim portions in canada offers a quintessential experience of canadian coffee culture known for its signature coffee fresh donets and hearty breakfast option tim portions provides a reliable and accessible choice for local and tourist alike,Positive,tim portions canada experience coffee culture signature coffee donets hearty breakfast option tim portions choice tourist,,Neutral,portions coffee coffee breakfast portions,Neutral,,Neutral
Manish Kumar Jha,5,"A common name in fast-food, Tim Horton are affordable and have incredibly fast service. If you feel some hunger, a Tim Horton around your next corner is always a great option. Or if you just want to grab a cup of coffee on the way to work.",il y a 5 ans,a common name in fastfood tim norton are unfordable and have incredibly fast service if you feel some hunger a tim norton around your next corner is always a great option or if you just want to grab a cup of coffee on the way to work,Positive,name fastfood tim norton service hunger norton corner option cup coffee way,service,Neutral,coffee,Neutral,,Neutral
Aya Rk,,Le café est souvent donné froid à cette place.,il y a 7 mois,coffee is often given cold at this place,Negative,coffee place,,Neutral,coffee,Neutral,,Neutral
Jo-an Blanchet-Girard,2,Le service était trop lent. De plus tout les sandwich déjeuner supposés être offert toute la journée mais le caissier à refusé de me le servir. C'etait le beyound the meat vegane que je voulais.C'est celui qui travaillait à 4h du matin le…,il y a 5 ans,"the service was too slow, plus all the lunch sandwiched were supposed to be offered all day but the cashier refused to serve it to me. It was the began meat that I wanted, it was the one who worked at 4 a.m. on",Negative,service lunch day cashier meat one a.m.,service cashier,Neutral,lunch,Neutral,,Neutral
Jonathan Lebel,,"Bonjour,

Je voudrais signaler une plainte concernant le service exécrable que j'ai eu au…",il y a 3 ans,"Hello

I would like to report a complaint regarding the terrible service I received at",Negative,complaint service,service,Neutral,,Neutral,,Neutral
Steven Leveque,3,"Normalement je ne prends que le Tim Glacé chez eux, qui est bien réussi.
Là, je viens de prendre quartiers de pommes de terre et je me suis fait servir 5 ""frites"" à se battre",il y a un an,"normally I only take the frozen tim from them which is very successful
here I just took potato edges and I was served 5 fires to fight",Negative,tim potato edges fires,,Neutral,,Neutral,,Neutral
Mathieu Primeau,,"Staff manquant d'expérience, et service lent. Certains items à prix plus élevés que dans les autres Tim Horton (ex. petit café glacé est actuellement en spécial à 1$ dans les autres mais pas là... en tout cas, s'ils font le spécial, ils…",il y a 7 ans,staff lacking experience and slow service some items at higher prices than in the others tim norton ex small ice coffee is currently on special at 1 in the others but not there in any case if they do the special they,Negative,staff experience service items prices others ice coffee others case,staff service,Neutral,coffee,Neutral,,Neutral
Charles Mackay,4,"Très bien, mieux que la moyenne des Tim. Personnel courtois et souriant.
Bémol, la musique trop forte parfois. Ce n'est pas un club staffaire! On dirait que certains employés font jouer leur playlist de chansons métal ou vulgaires.…",il y a 8 mois,"very much better than the average tim courteous and smiling staff
downside the music is too loud sometimes it's not a staff club it seems that some employees play their playlist of metal or vulgar songs",Positive,tim staff music staff club employees playlist metal vulgar songs,staff staff employees,Neutral,,Neutral,,Neutral
Alex-André Piché,5,I ordered a Club A la Tim trio and a large Ice cap as I always do. They asked me if I wanted toasted. Yes!!! then he hands me an ice cap thats filled almost to the tip top of the cup. Insane !!! Then the guy turns around and asked me if I…,il y a 4 ans,i ordered a club a la tim trip and a large ice cap as i always do they asked me if i wanted boasted yes then he hands me an ice cap that filled almost to the tip top of the cup insane  then the guy turns around and asked me if i,Negative,i club la tim trip ice cap i ice cap tip top cup insane guy i,,Neutral,,Neutral,,Neutral
Arsène Brosseau-Thiffault,,"Chaque fois que je vais à ce Tim, c'est une mauvaise expérience. Les employés ne parle que très minimalement français, ils font des erreurs dans les commandes et ils manque toujours de tout.",il y a 2 ans,every time I go to this tim it's a bad experience the employees only speak very minimal French they make mistakes in the orders and they always lack everything,Negative,time tim experience employees mistakes orders everything,employees,Neutral,,Neutral,,Neutral
Starla Stallings,5,Good Coffee. The brownies and breakfast sandwiches were the best!,il y a 4 ans,good coffee the brownish and breakfast sandwiched were the best,Positive,coffee breakfast,,Neutral,coffee breakfast,Neutral,,Neutral
Pierre Bouillon,2,"Pas le meilleur TH pour la location , au 2/3 ouvert , ça pu l' itinérant",il y a 9 mois,not the best th for rental at 23 open it could have been roaming,Negative,th,,Neutral,,Neutral,,Neutral
Eric Pilote,,"Ils n’aiment pas le français , si au moins leurs cafés ne goûtaient pas si mauvais, faut-il ajouter autant de sucre et de lait pour goûter quelques chose, J’appelle les vrais français à ne plus jamais acheter chez eux.",il y a 2 ans,they don't like French if at least their coffee didn't taste so bad you have to add as much sugar and milk to taste something I call on real French people to never buy from them again,Negative,coffee sugar milk something people,,Neutral,coffee taste milk taste,Neutral,,Neutral
Jessica Tourigny,3,"Service  assez lent et ils ont fait une erreur dans ma commande. Au moins, il sen est rendu compte avang que je parte et il a réglé la situation rapidement.C'est assez propre et les employés semblent faire leur possible  mais trop de clients pour peu d'employés...",il y a 5 ans,pretty slow service and they made a mistake in my order at least he realized it before I left and he resolved the situation quickly it's quite clean and the employees seem to be doing their best but too many customers for few employees,Negative,service mistake order situation employees customers employees,service employees employees,Neutral,,Neutral,clean,Positive
Lynne Crevier,4,Étant donné qu'il était tard ont à pas pus manger de tout. Bien mangés quand même.,il y a 10 mois,given that it was late we couldn't eat anything that was well eaten anyway,Negative,anything,,Neutral,,Neutral,,Neutral
A V,,"Le service est nul, j’ai demandé d’être servis en français et les filles derrière le comptoir se sont moqué de moi, elle parlaient en anglais entre elles comme si j’étais un extraterrestre. 0 respect envers les clients. 👎🏼…",il y a 2 ans,the service is louse I asked to be served in French and the girls behind the counter made fun of me they spoke in English to each other as if I was an alien 0 respect for the customers,Negative,service girls counter fun respect customers,service,Neutral,,Neutral,,Neutral
Sonia Bastien,2,La caissière qui a prit ma commande était incapable de parler français.,il y a 8 mois,the cashier who took my order was incapable of speaking French,Negative,cashier order,cashier,Neutral,,Neutral,,Neutral
Jean-Luc Michaud,,Le restaurant n’est encore pas ouvert passé l’heure d’ouverture.,il y a 7 mois,the restaurant is still not open after opening hours,Negative,restaurant hours,,Neutral,,Neutral,,Neutral
Marilyn J,4,"Nous avons déjeuné deux fois dans ce lieu. Nous sommes tombés sur une française au comptoir, super accueil et d'une grande sympathie. Nous avons bien mangé.",il y a 2 ans,"we had lunch twice in this place we came across a French woman at the counter, super welcoming and very friendly, we ate well",Positive,place woman counter welcoming,,Neutral,lunch,Neutral,,Neutral
RedFoster,4,Have you tried the Tim Hortons breakfast wrap? I've had 2 now and they're really good. I think I'll probably have 1 more and never have it again. I recommend this location :),il y a 3 ans,have you tried the tim portions breakfast wrap give had 2 now and there really good i think ill probably have 1 more and never have it again i recommend this location,Positive,tim portions give i ill location,,Neutral,portions breakfast,Neutral,,Neutral
Anton Palamodov,,"Very slow, staff barely knows English or French ,waited way too long just to get the wrong order even after repeating it several times.
Very dirty bathrooms.
The food was up to standards tho.",il y a 2 ans,"very slow staff barely knows english or french waited way too long just to get the wrong order even after repeating it several times
very dirty bathroom
the food was up to standards the",Negative,staff way order times bathroom food standards,staff,Neutral,food,Neutral,dirty bathroom,Negative
Marie-helene Simard,3,Service moyen. Ça fait quelques fois que j'y vais et il y a des erreurs sur ma commande et quand on essaie de leur dire ils sont occupés ailleurs.,il y a un an,average service I've been there a few times and there are errors on my order and when we try to tell them they are busy elsewhere,Negative,service times errors order,service,Neutral,,Neutral,,Neutral
Pascale Pellemans,3,Il faisait quand même chaud malgré qu'il aurait dû y avoir l'air climatisé. Le caissier s'est trompé 2 fois dans notre commande... Visite compliquée.,il y a 5 ans,it was still hot even though there should have been air conditioning the cashier made a mistake twice in our order complicated visit,Negative,cashier twice order visit,cashier,Neutral,,Neutral,,Neutral
HajYas App,5,"Parmi mes Tims préférés. J'aime bien y aller après un cours, histoire de revoir mes notes de cours avec une boisson chaude. Le service est excellent à chaque fois que j'y vais.",il y a 4 ans,among my favorite time i like to go there after a class just to review my course notes with a hot drink the service is excellent every time i go there,Positive,time i class course notes drink service time i,service,Neutral,,Neutral,,Neutral
Ray Kyle,3,The service is not so good at this location I'm not really sure if they know how to get their lineup for the cash register rights staff are a little bit slow.,il y a un an,the service is not so good at this location in not really sure if they know how to get their line for the cash register rights staff are a little bit slow,Negative,service location line cash register rights staff bit,service staff,Neutral,,Neutral,,Neutral
Natalie Siroklin,3,"No latte for more than week! What?) It sounds like a joke but it’s not.
Please, do some efforts to have it)",il y a 10 mois,"no late for more than week what it sounds like a joke but its not
please do some efforts to have it",Negative,week joke efforts,,Neutral,,Neutral,,Neutral
Christian Simard,4,"Tres bon service avec sourire en Francais et en anglais. The missing star is for the whole chain who need to train their emplyee better on new tech. Specifically on using and helping customers with the Tim Card, the CIBC Tim Card and their very buģgy mobile app.",il y a 5 ans,tres on service avec source en francais et en anglaise the missing star is for the whole chain who need to train their employee better on new teach specifically on using and helping customers with the tim card the city tim card and their very buggy mobile pp,Negative,tres service avec source francais et anglaise star chain employee teach customers tim city tim card pp,service employee,Neutral,,Neutral,,Neutral
Alexe p,,"J'ai commamder en français et a été servie en anglais. J'ai commander un muffin (il y en abais env. 8) et le temps que je sois servie, tous ceux de cette sorte on disparu pour une autre commande. Le café frappé etait 2 phases ( glace et saveur) donc mal mélangé.",il y a 5 ans,I ordered in French and was served in English I ordered a coffin there were about 8 of them and by the time I was served all those of this kind we disappeared for another order the smooth was 2 phases ice and flavor so poorly mixed,Negative,coffin time kind order smooth phases ice flavor,,Neutral,,Neutral,,Neutral
ishak kokoc,5,Nice and very friendly peoples are working,il y a 4 ans,nice and very friendly peoples are working,Positive,peoples,,Neutral,,Neutral,,Neutral
Anna Cinelli,,You say 5 am. I came at 5:25 and it was closed. You wasted my time. You should fix your website,il y a 8 mois,you say 5 am i came at 525 and it was closed you wasted my time you should fix your webster,Negative,time webster,,Neutral,,Neutral,,Neutral
Ben Fung,4,Nice atmosphere and it has outside terrace.,il y a 7 ans,nice atmosphere and it has outside terrace,Positive,terrace,,Neutral,,Neutral,,Neutral
Damien Herwegh,,That's just junk fast food. Even the coffee is not good,il y a un an,that just june fast food even the coffee is not good,Negative,june food coffee,,Neutral,food coffee,Neutral,,Neutral
EcKo Xking,5,My cheeks were bout to explode and one of the employees let me use the restroom but the other made a weird face for wanting to use the rest room and then I got a peach quencher,il y a un an,my cheeks were bout to explode and one of the employees let me use the restroom but the other made a weird face for wanting to use the rest room and then i got a each quenched,Negative,cheeks employees restroom face rest room quenched,employees,Neutral,,Neutral,,Neutral
Local guide Guide,2,Worst service i ve seen in a while,il y a 6 mois,worst service i ve seen in a while,Negative,service i while,service,Neutral,,Neutral,,Neutral
salman ben,,Service nulle la table de préparation et salle 0/10,il y a 10 mois,zero service the preparation table and room 010,Negative,service preparation table room,service,Neutral,,Neutral,,Neutral
Grace G,,Horrible customer service.,il y a 2 mois,horrible customer service,Negative,customer service,service,Neutral,,Neutral,,Neutral
Mouhamadou Diaw,,"I will not  go back to THAT  specific place. The coffee was disgusting,  the employees  talking about other businesses unrelated to their  chores,  mixing  and forgetting the orders....",il y a un an,i will not  go back to that  specific place the coffee was disgusting  the employees  talking about other business unrelated to their  shores  mixing  and forgetting the orders,Negative,i place coffee employees business shores orders,employees,Neutral,coffee,Neutral,,Neutral
Steven Bjerke,3,"Your average Tim Hortons, generally ok service and coffee. Small on the inside, with limited seating, given the prominence of the Quartier des Spectacles.",il y a 3 ans,your average tim portions generally ok service and coffee small on the inside with limited seating given the prominence of the quartier des spectacles,Positive,portions service coffee inside prominence quartier spectacles,service,Neutral,portions coffee,Neutral,,Neutral
Patrick Bissonnette,3,Le service laissé à désirer vraiment pas fort sa prix 10 minutes pour me servir un café de plus il était 4 deriere le contoir pas fort le tous est à 16h30,il y a 5 ans,the service left to be desired really not strong its price 10 minutes to serve me a coffee plus it was 4 behind the counter not strong everyone is at 4:30 p.m.,Negative,service price minutes coffee counter everyone p.m,service,Neutral,coffee,Neutral,,Neutral
Sam Totah (“montrealsam”),3,Tim Hortons is Tim Hortons it will not change. Not soon. Continue to dine or coffee. Habit is not easy to break. Reliable and fairly priced.,il y a 4 ans,tim portions is tim portions it will not change not soon continue to dine or coffee habit is not easy to break reliable and fairly prices,Positive,tim portions portions habit prices,,Neutral,portions portions coffee,Neutral,,Neutral
David Lavoie,3,"Équipe rapide et efficace pour le service mais pas assez grande pour pourvoir au nettoyage de l'endroit. Aucun blâme sur les employés présents, seulement sur la gestion mercantile??",il y a 7 ans,fast and efficient team for the service but not big enough to clean the place no blame on the employees present only on the mercantile management,Negative,team service place blame employees mercantile management,service employees,Neutral,,Neutral,clean,Positive
D T,5,"Helpful staff, quick service. What more do you need, really?",il y a 9 mois,helpful staff quick service what more do you need really,Positive,staff service,staff service,Neutral,,Neutral,,Neutral
Daniel Rathe,5,Tim Hortons typique.ambiance plaisante.facile d accès.metro Place Des Arts en biais du Complexe Desjardins.un excellent quartier celui des spectacles.,il y a 3 ans,typical tim portions pleasant atmosphere easy access retro place des arts across from the desjardins complex an excellent entertainment district,Positive,tim portions access place des arts desjardins entertainment district,,Neutral,portions,Neutral,,Neutral
Ronald Virtue,4,The best places where I live what time my coffee I don't go to many other places but can Morton the service is great out of all the things I've been through and there's not too many that I didn't like I like them all most all,il y a 6 ans,the best places where i live what time my coffee i dont go to many other places but can morton the service is great out of all the things give been through and there not too many that i didn like i like them all most all,Positive,places i time coffee i places service things i,service,Neutral,coffee,Neutral,,Neutral
Tibile Diabira,,Un service a vomir je suis passé avec ume collègues on c'est fait mal traiter par un employé  d'origine indien très impoli cet employé  qui est frustré car il ne parle pas le français on est au Québec il doit y avoir des francophones…,il y a 4 ans,a service to vomit I passed with a colleague we were treated badly by an employee of Indian origin very rude this employee who is frustrated because he does not speak French we are in Quebec there must be French speakers,Negative,service colleague employee origin employee speakers,service employee employee,Neutral,,Neutral,,Neutral
turaipo,4,"Les Tim Horton c'est pas très bon, mais celui là je l'aime bien. Il est lumineux et le personnel fait de son mieux.",il y a 5 ans,"Him Norton's is not very good but I like this one, it's bright and the staff does their best",Positive,staff,staff,Neutral,,Neutral,,Neutral
Abdelhak Fardjallah,4,Aujourd'hui c'est le marathon international de Montréal. J'ai bien savouré mon café chez Tim Horton en regardant les coureurs qui passaient à quelques mètres de la ligne d'arrivée.,il y a 5 ans,Today is the Montreal International Marathon I enjoyed my coffee at Him Norton's while watching the runners passing a few peters from the finish line,Positive,Today coffee runners peters line,,Neutral,coffee,Neutral,,Neutral
Ruben Alimasi,4,"Employees stops everything well before the closing time. As of everything else, it's Tim Hortons. You like it or you don't.",il y a 3 ans,employees stops everything well before the closing time as of everything else its tim portions you like it or you dont,Negative,employees everything closing time everything tim portions,employees,Neutral,portions,Neutral,,Neutral
Olivier Laporte,2,Le service est souvent long et la majorité des employés ne parlent pas français et ont de la difficulté à comprendre ce que l'on veut.,il y a 2 ans,the service is often long and the majority of employees do not speak French and have difficulty understanding what we want,Negative,service majority employees difficulty,service employees,Neutral,,Neutral,,Neutral
ME GG,4,"Too many cashiers vs people making the sandwiches, you have to wait a good while, but it is clean.",il y a 2 ans,too many cashier vs people making the sandwiched you have to wait a good while but it is clean,Positive,people while,cashier,Neutral,,Neutral,clean,Positive
Michel Harvey,5,Very convenient for a quick drink like coffee when you're ready to visit downtown main Street,il y a 2 ans,very convenient for a quick drink like coffee when your ready to visit downtown main street,Negative,convenient drink coffee street,,Neutral,coffee,Neutral,,Neutral
lv vl,5,Good one,il y a 5 mois,good one,Positive,,,Neutral,,Neutral,,Neutral
Nunzio Altomonte,5,"Great Tim's good view and clean ,Coffee always up to Tim Horton standards , Donuts are always fresh , And they taste great , One of my Favorite Tim's in Montreal",il y a 7 ans,great time good view and clean coffee always up to tim norton standards  donets are always fresh  and they taste great  one of my favorite time in montreal,Positive,time view coffee standards donets time montreal,,Neutral,coffee taste,Neutral,clean,Positive
Daniela Bruhin,,The Time they must have open are not right really horrible if they write till 11pm and have not open anymore at 9:55pm. Not good and just annoying !!,il y a 2 ans,the time they must have open are not right really horrible if they write till pm and have not open anymore at 955pm not good and just annoying,Negative,time open pm,,Neutral,,Neutral,,Neutral
Leslie Averhoff,5,"Very nice service. Food and drinks even better.
It's my favorite place for take a break and relax.",il y a 6 ans,"very nice service food and drinks even better
its my favorite place for take a break and relax",Positive,service food drinks place break,service,Neutral,food drinks,Neutral,,Neutral
jessy mbuya,,"Worst customer service ever. They never get my order right, doesn’t matter if I tell them in French or English and they are so rude.",il y a 4 ans,worst customer service ever they never get my order right doesn matter if i tell them in french or english and they are so rude,Negative,customer service order matter,service,Neutral,,Neutral,,Neutral
Jim Dalberg,5,Fast and good cup of coffee!,il y a 5 ans,fast and good cup of coffee,Positive,cup coffee,,Neutral,coffee,Neutral,,Neutral
Jim Dymond,4,Great place to stop by for a coffee  Easy to get to through the underground in bed whether located centrally downtown it's Tim hortons what else is there to say lol good coffee and treats or for a quick  Breakfast on the run is great,il y a 5 ans,great place to stop by for a coffee  easy to get to through the underground in bed whether located generally downtown its tim portions what else is there to say ll good coffee and treats or for a quick  breakfast on the run is great,Positive,place coffee easy underground bed tim portions coffee treats breakfast run,,Neutral,coffee portions coffee breakfast,Neutral,,Neutral
J - F Rho,5,"Je commence à etre un spécialiste de la commande à l'auto des ""TimHorton"" au Canada. Toujours chaud les cafés et c'est dur de rater un TimMatin.",il y a 2 ans,"I'm starting to be a specialist in ordering Timhorton's in Canada, the coffee are always hot and it's hard to miss a Timmorton",Positive,specialist coffee,,Neutral,coffee,Neutral,,Neutral
Andrei Dicusara,,"At 19:15 closed the door. At lockdown till 19:30.
Really?
I wait my wife at the hospital till 22:00
Very smart guys 👎👎👎…",il y a 3 ans,"at 1915 closed the door at lockdown till 1930
really
i wait my wife at the hospital till 2200
very smart guns",Negative,door lockdown till wife hospital till guns,,Neutral,,Neutral,,Neutral
Nassim Hamlat,,"C’est vraiment bordélique, on m’a donné la commande de quelqu’un d’autre, pire service",il y a un an,"It’s really mess I was given someone else’s order, worse service",Negative,someone s order service,service,Neutral,,Neutral,,Neutral
Raynaldo Joseph,,Came in to use the washroom and the employee by the name of Kiran told me in order for me to use the washroom I need to buy something because she said I know what you people do in the bathroom and we are in 2019 racism still exists.,il y a 5 ans,came in to use the mushroom and the employee by the name of ran told me in order for me to use the mushroom i need to buy something because she said i know what you people do in the bathroom and we are in 2019 racism still exists,Negative,mushroom employee name ran order mushroom i something i people bathroom racism,employee,Neutral,,Neutral,bathroom,Neutral
Patrick Lortie,,Extremely disorganized. Wouldn't honor the prices that were displayed!! Poor girl at the cash tried to help but NONE of her co-workers would lend her a hand. Place was filthy also.,il y a 6 ans,extremely disorganized wouldn honor the prices that were displayed poor girl at the cash tried to help but none of her workers would lend her a hand place was filthy also,Negative,wouldn prices girl cash none workers hand place,workers,Neutral,,Neutral,,Neutral
Chntl P,3,C est du Tim un gros bémol a ce Tim personne ne parle le francais c est inacceptable au Québec!,il y a un an,"It's Him, a big downside to this Him, no one speaks French, it's unacceptable in Quebec",Negative,downside,,Neutral,,Neutral,,Neutral
Nic Q,3,Service is decent but young staff easily overwhelmed by just a few orders...,il y a 4 ans,service is decent but young staff easily overwhelmed by just a few orders,Negative,service staff orders,service staff,Neutral,,Neutral,,Neutral
praveen george,,"Cinnamon bun,  it maybe one month old,   and ordered coffee 2C3S  but i got  3 creem only  lost money",il y a 2 ans,cinnamon but  it maybe one month old   and ordered coffee acts  but i got  3 cream only  lost money,Negative,cinnamon month coffee acts cream money,,Neutral,cinnamon coffee,Neutral,,Neutral
Karima Lemire,,"Mauvais service, les employés ne parlent pas français. Mon café glacé ne goûtait même pas le café …",il y a 2 ans,bad service the employees don't speak French my ice coffee didn't even taste like coffee,Negative,service employees coffee coffee,service employees,Neutral,coffee taste coffee,Neutral,,Neutral
Xavier C,4,"Personnel sympathique mais ne parle pas bien français, obligé de parler anglais une fois sur deux",il y a 2 ans,"friendly staff but don't speak French well, forced to speak English every other time",Negative,staff time,staff,Neutral,,Neutral,,Neutral
Erman Erzurumluoglu,,It was a nightmare to have them understand my custom order and they overcharged me by mistake.,il y a 2 ans,it was a nightmare to have them understand my custom order and they overcharged me by mistake,Negative,nightmare custom order mistake,,Neutral,,Neutral,,Neutral
Fixy Pash,5,People are nice! And efficent. Am a regular and i always get my drink on cash. Cute gurls,il y a 5 ans,people are nice and efficient am a regular and i always get my drink on cash cut girls,Positive,people i drink cash cut girls,,Neutral,,Neutral,,Neutral
Sunil Balgobin Realtor,4,Gotta love Tim's.....even when in Montreal...Coffee is always nice....and so is everything else.,il y a 2 ans,gutta love timseven when in montrealcoffee is always iceland so is everything else,Positive,gutta montrealcoffee everything,,Neutral,,Neutral,,Neutral
Si Mon,5,"""Comfortable-welcome feeling"" n employees were friendly n helpful...nice location with a wonderful street view.",il y a 5 ans,comfortablewelcome feeling n employees were friendly n helpfulnice location with a wonderful street view,Positive,comfortablewelcome feeling employees helpfulnice location street view,employees,Neutral,,Neutral,,Neutral
